date,customer_id,city,state,melons_delivered,total_amount
2014-04-30,75,La Habra,FL,10,34.59
2014-04-30,603,Newman,MD,84,224.64
2014-04-30,220,Murrieta,ND,7,34.28
2014-04-30,447,Lathrop,FL,21,75.87
2014-04-30,327,Lakewood,UT,18,66.13
2014-04-30,352,Palm Springs,WY,55,679.13
2014-04-30,159,Brentwood,NV,105,224.36
2014-04-30,105,Banning,CT,78,215.21
2014-04-30,268,Vallejo,KY,12,46.61
2014-04-30,562,Calimesa,MD,8,32.34
2014-04-30,963,Milpitas,NM,24,76.65
2014-04-30,54,Solvang,AK,8,25.95
2014-04-30,276,Vista,AK,11,37.74
2014-04-30,935,Belvedere,WI,74,130.85
2014-05-01,610,Canyon Lake,OH,75,177.81
2014-05-01,813,Indio,CO,117,333.25
2014-05-01,769,Madera,MN,21,69.96
2014-05-01,889,King City,OR,7,22.86
2014-05-01,10,Dinuba,HI,31,81.30
2014-05-01,278,Fountain Valley,MA,178,534.64
2014-05-01,341,Fillmore,IA,37,132.90
2014-05-01,519,Rio Dell,AL,8,59.15
2014-05-01,489,Rancho Palos Verdes,OK,163,20911.17
2014-05-01,922,Mission Viejo,KS,10,36.62
2014-05-01,852,Hollister,MT,32,99.97
2014-05-01,132,Moreno Valley,SD,40,109.93
2014-05-01,480,Windsor,FL,6,32.44
2014-05-02,381,Willits,MN,7,30.05
2014-05-02,376,Hemet,NC,5,26.38
2014-05-02,497,Fresno,KY,1,10.93
2014-05-02,222,Beaumont,LA,25,72.06
2014-05-02,541,Willows,MS,8,31.11
2014-05-02,816,Kerman,NE,60,161.46
2014-05-02,811,Escalon,SD,26,73.26
2014-05-02,911,Arroyo Grande,IL,101,530.52
2014-05-02,618,Downey,NM,32,80.92
2014-05-02,721,Yreka,MT,6,34.62
2014-05-02,906,San Juan Bautista,NH,16,49.05
2014-05-02,25,La Verne,NV,21,61.70
2014-05-02,745,Carson,PA,91,249.94
2014-05-02,428,East Palo Alto,SD,102,136.13
2014-05-02,111,Loomis,TX,7,34.01
2014-05-02,354,San Diego,HI,29,66.88
2014-05-02,660,San Leandro,NC,21,75.61
2014-05-03,635,Montague,KY,10,29.99
2014-05-03,695,Hermosa Beach,MD,57,2802.85
2014-05-03,248,Covina,IN,76,255.80
2014-05-03,87,Manhattan Beach,RI,2,19.50
2014-05-03,712,El Cajon,IN,107,281.57
2014-05-03,926,South El Monte,MA,6,15.57
2014-05-03,638,Diamond Bar,CT,17,52.49
2014-05-03,698,Antioch,LA,49,127.82
2014-05-03,687,Hercules,OK,12,75.06
2014-05-03,336,Belmont,ME,25,111.21
2014-05-03,579,Yountville,NY,12,35.73
2014-05-03,583,Vallejo,IL,35,2746.43
2014-05-03,492,Cotati,AL,4,29.28
2014-05-03,590,San Rafael,TX,54,124.65
2014-05-03,261,Mill Valley,VA,24,74.65
2014-05-03,140,Menifee,RI,5,17.14
2014-05-03,364,Truckee,DE,123,263.62
2014-05-03,298,Alturas,NJ,15,54.31
2014-05-03,998,Clovis,WA,9,30.06
2014-05-03,377,Antioch,OK,105,325.64
2014-05-03,992,Palo Alto,VT,17,50.21
2014-05-03,78,South El Monte,NE,1,14.08
2014-05-03,6,Santa Clara,AL,76,218.19
2014-05-03,93,Rancho Cucamonga,SD,23,64.24
2014-05-03,784,Salinas,MA,19,63.55
2014-05-03,668,Irvine,MT,20,63.17
2014-05-03,590,San Rafael,TX,37,112.23
2014-05-03,163,Carlsbad,MS,31,96.34
2014-05-04,945,Kingsburg,VA,14,46.79
2014-05-04,498,El Segundo,MT,23,74.43
2014-05-04,313,Pico Rivera,TX,7,33.86
2014-05-04,91,Nevada City,NV,152,19540.46
2014-05-04,494,Calimesa,ID,121,370.94
2014-05-04,792,Arroyo Grande,GA,32,100.45
2014-05-04,532,Fairfield,CA,26,94.54
2014-05-04,809,Live Oak,FL,123,318.03
2014-05-04,125,Sacramento,NJ,18,63.86
2014-05-04,442,Plymouth,KY,5,33.67
2014-05-04,518,Rosemead,SC,4,28.99
2014-05-04,686,Visalia,CO,22,55.09
2014-05-04,90,Los Banos,MN,5,18.63
2014-05-04,288,Pinole,ID,13,33.37
2014-05-04,619,Pismo Beach,CO,70,229.31
2014-05-04,675,Maywood,VA,1,7.03
2014-05-04,125,Sacramento,NJ,190,488.91
2014-05-04,123,Orinda,DE,3,26.70
2014-05-05,177,San Fernando,WA,18,65.50
2014-05-05,655,Wasco,WY,77,194.68
2014-05-05,758,Pittsburg,MS,109,304.15
2014-05-05,892,Santa Paula,GA,7,28.60
2014-05-05,262,McFarland,NM,63,185.59
2014-05-05,234,Loomis,FL,9,32.28
2014-05-05,260,Dos Palos,OR,12,45.49
2014-05-05,319,Carlsbad,UT,8,40.98
2014-05-05,79,El Segundo,NM,6,27.62
2014-05-05,152,Dunsmuir,VT,126,381.79
